PERSON_NUMBER;PERSON_NUMBER_ADD;SURNAME;FIRST_NAME;MIDDLE_NAME;MANAGER_FULL_NAME;POSITION_NAME;TB_CODE;GOSB_CODE;BUSINESS_BLOCK;PRIORITY_TYPE;KPK_CODE;KPK_NAME;ROLE_CODE;UCH_CODE;GENDER;ORG_UNIT_CODE
16468786223708213768;16468786223708213768;Петрова;Виктория;Аркадьевна;Голубев Глеб Артемович;Аналитик;09;197125;Корпоративный;1;00000017;КПК Запад;R007;1;2;09197125
50465059842299027082;50465059842299027082;Смирнова;Дарья;Фёдоровна;Михайлов Сергей Вячеславович;Эксперт;01;992360;Розничный;0;00000018;КПК Юг;R005;0;2;01992360
60752233045919608757;60752233045919608757;Иванова;Вероника;Вадимовна;Кузнецова Анна Валерьевна;Начальник отдела;01;288239;Розничный;1;00000019;КПК Юг;R002;0;2;01288239
03585763284427010438;03585763284427010438;Лебедева;Милана;Денисовна;Кудрявцев Михаил Георгиевич;Бизнес-архитектор;08;771783;Корпоративный;0;00000020;КПК Юг;R011;0;2;08771783
24242126166847160480;24242126166847160480;Соловьёва;Валерия;Петровна;Павлов Егор Тимурович;Аналитик;06;7746;Розничный;0;00000021;КПК Север;R010;1;2;06774600
97010065049342087119;97010065049342087119;Лебедева;Вероника;Аркадьевна;Куликов Филипп Михайлович;Ведущий специалист;10;563776;не участник;0;00000022;КПК Север;R011;1;2;10563776
60375717545089297581;60375717545089297581;Макаров;Виталий;Александрович;Федорова Елена Григорьевна;Эксперт;05;9248;Финансы;0;00000023;КПК Юг;R006;0;1;05924800
69410424907256485940;69410424907256485940;Смирнова;Татьяна;Олеговна;Виноградова Диана Вячеславовна;Консультант;11;471345;Операционный;1;00000024;КПК Юг;R004;0;2;11471345
90873607676847986346;90873607676847986346;Егоров;Вадим;Павлович;Сидоров Ярослав Николаевич;Ведущий специалист;03;3121;Технологии;1;00000025;КПК Восток;R001;0;1;03312100
64981676022765233688;64981676022765233688;Иванова;Наталья;Денисовна;Федорова Вероника Владимировна;Менеджер;02;2717;Корпоративный;1;00000026;КПК Север;R003;1;2;02271700
36628498951682371387;36628498951682371387;Макарова;Мария;Вячеславовна;Куликова Юлия Денисовна;Менеджер;05;3688;Технологии;1;00000027;КПК Юг;R001;1;2;05368800
44343902659752866300;44343902659752866300;Семенова;Вера;Тимуровна;Киселева Арина Андреевна;Консультант;10;909765;Операционный;0;00000028;КПК Центр;R007;0;2;10909765
00017543792074153794;00017543792074153794;Баранов;Виктор;Вадимович;Ковалев Филипп Тимурович;Аналитик;11;810210;Операционный;1;00000029;КПК Юг;R003;1;1;11810210
05478717730494192610;05478717730494192610;Орлов;Ярослав;Алексеевич;Виноградов Александр Юрьевич;Аналитик;05;8069;Технологии;1;00000030;КПК Центр;R001;1;1;05806900
26853072049170371907;26853072049170371907;Соколов;Виталий;Вячеславович;Семенов Константин Денисович;Менеджер;04;2552;Розничный;1;00000031;КПК Восток;R004;0;1;04255200
76968296197961883031;76968296197961883031;Соловьёва;Вероника;Олеговна;Беляева Ксения Дмитриевна;Менеджер;05;2427;Технологии;0;00000032;КПК Юг;R011;1;2;05242700
36436884987897166504;36436884987897166504;Попова;Милана;Артёмовна;Беляев Егор Иванович;Аналитик;04;6418;не участник;0;00000033;КПК Запад;R006;1;2;04641800
98567041263168612526;98567041263168612526;Морозова;Наталья;Денисовна;Беляев Артем Вадимович;Ведущий специалист;10;266138;Технологии;1;00000034;КПК Север;R008;0;2;10266138
99609325580595178753;99609325580595178753;Иванова;Марина;Григорьевна;Ковалева Дарья Семёновна;Бизнес-архитектор;08;707042;не участник;0;00000035;КПК Восток;R009;1;2;08707042
27436430548351000482;27436430548351000482;Киселева;Татьяна;Ивановна;Ковалев Максим Алексеевич;Разработчик;07;797510;Технологии;0;00000036;КПК Юг;R010;0;2;07797510
06565577117552018870;06565577117552018870;Гусева;Юлия;Дмитриевна;Гусева Алёна Михайловна;Аналитик;09;550838;Операционный;1;00000037;КПК Север;R003;0;2;09550838
74477142390913721857;74477142390913721857;Воробьева;Светлана;Ивановна;Белова Виктория Вадимовна;Консультант;03;4867;Технологии;0;00000038;КПК Север;R006;1;2;03486700
37004379191716593356;37004379191716593356;Куликов;Степан;Олегович;Соколова Василиса Викторовна;Менеджер;06;9277;Розничный;1;00000039;КПК Север;R003;1;1;06927700
08819048455380720452;08819048455380720452;Павлов;Петр;Валерьевич;Титова Наталья Михайловна;Разработчик;04;3030;Корпоративный;0;00000040;КПК Запад;R004;1;1;04303000
58089317175580064795;58089317175580064795;Куликов;Валерий;Андреевич;Тарасова Анна Аркадьевна;Начальник отдела;04;8550;Технологии;0;00000041;КПК Юг;R010;0;1;04855000
94191775179224531425;94191775179224531425;Кузьмина;Юлия;Денисовна;Егоров Роман Андреевич;Разработчик;05;8230;не участник;1;00000042;КПК Восток;R007;0;2;05823000
06779129944416496595;06779129944416496595;Киселев;Аркадий;Романович;Баранова Наталья Николаевна;Начальник отдела;01;524717;Корпоративный;0;00000043;КПК Запад;R004;0;1;01524717
22230632587657161110;22230632587657161110;Титова;Полина;Игоревна;Попова Ксения Владимировна;Эксперт;04;1410;Операционный;0;00000044;КПК Юг;R008;0;2;04141000
57176314352798281071;57176314352798281071;Новикова;Елизавета;Ивановна;Морозов Андрей Андреевич;Консультант;07;210245;Финансы;1;00000045;КПК Центр;R006;0;2;07210245
63424670875513347733;63424670875513347733;Кудрявцева;Алина;Вячеславовна;Комаров Олег Сергеевич;Эксперт;03;8318;Корпоративный;0;00000046;КПК Север;R002;0;2;03831800
99864516274186180692;99864516274186180692;Смирнова;Наталья;Дмитриевна;Лебедева Ольга Олеговна;Начальник отдела;08;488623;Операционный;0;00000047;КПК Запад;R002;0;2;08488623
45678592064218705280;45678592064218705280;Сидоров;Олег;Александрович;Соколов Вадим Андреевич;Ведущий специалист;04;2111;Технологии;0;00000048;КПК Восток;R009;1;1;04211100
79888622799693532662;79888622799693532662;Петрова;Вера;Артёмовна;Богданова Софья Павловна;Главный специалист;10;814692;Розничный;1;00000049;КПК Запад;R009;0;2;10814692
71363367545678669286;71363367545678669286;Иванов;Владимир;Георгиевич;Смирнова Ева Сергеевна;Аналитик;01;757172;Розничный;1;00000050;КПК Юг;R009;1;1;01757172
32962902131313096590;32962902131313096590;Киселева;Наталья;Вячеславовна;Комарова Марина Витальевна;Ведущий специалист;06;4915;Корпоративный;1;00000051;КПК Запад;R001;1;2;06491500
65997957353095878184;65997957353095878184;Волкова;Олеся;Викторовна;Морозов Даниил Фёдорович;Разработчик;10;915504;Операционный;0;00000052;КПК Юг;R006;1;2;10915504
99740560075637403098;99740560075637403098;Гусева;Ксения;Фёдоровна;Соколов Сергей Андреевич;Ведущий специалист;07;460340;Операционный;0;00000053;КПК Север;R010;0;2;07460340
88765568709696281392;88765568709696281392;Богданов;Вадим;Георгиевич;Кузнецова Елена Фёдоровна;Руководитель группы;03;9224;не участник;0;00000054;КПК Север;R009;0;1;03922400
18108160838742152970;18108160838742152970;Киселева;Валерия;Валерьевна;Смирнова Ева Игоревна;Главный специалист;09;459154;Розничный;1;00000055;КПК Восток;R005;0;2;09459154
03635738987067012710;03635738987067012710;Павлов;Сергей;Фёдорович;Морозов Олег Михайлович;Начальник отдела;06;3761;не участник;0;00000056;КПК Юг;R004;1;1;06376100
59868287220990444943;59868287220990444943;Комарова;Наталья;Игоревна;Кузнецова Алиса Дмитриевна;Менеджер;04;2246;Корпоративный;0;00000057;КПК Восток;R007;0;2;04224600
55419177449152645382;55419177449152645382;Михайлов;Руслан;Петрович;Ковалев Петр Аркадьевич;Руководитель группы;08;364440;Розничный;0;00000058;КПК Север;R005;0;1;08364440
93740529758320299226;93740529758320299226;Иванов;Руслан;Вадимович;Титов Аркадий Николаевич;Менеджер;11;773927;не участник;0;00000059;КПК Центр;R001;1;1;11773927
10904248144620872888;10904248144620872888;Тарасов;Иван;Тимурович;Комаров Михаил Валерьевич;Бизнес-архитектор;02;6665;Финансы;0;00000060;КПК Запад;R008;1;1;02666500
25530277450395746696;25530277450395746696;Белова;Полина;Сергеевна;Орлова Дарья Павловна;Начальник отдела;02;6981;Операционный;0;00000061;КПК Центр;R006;1;2;02698100
44112488754813702532;44112488754813702532;Егоров;Петр;Дмитриевич;Козлов Никита Валерьевич;Разработчик;06;9359;Корпоративный;1;00000062;КПК Север;R008;0;1;06935900
11739934155668832388;11739934155668832388;Михайлова;Ксения;Андреевна;Баранов Артем Степанович;Аналитик;06;5277;Технологии;0;00000063;КПК Юг;R006;1;2;06527700
25962206684818210722;25962206684818210722;Кудрявцева;Кристина;Викторовна;Лебедев Дмитрий Иванович;Ведущий специалист;01;779974;Технологии;1;00000064;КПК Юг;R003;1;2;01779974
89464642616745230003;89464642616745230003;Попов;Михаил;Аркадьевич;Белов Степан Николаевич;Эксперт;04;7243;Финансы;1;00000065;КПК Запад;R002;1;1;04724300
51344275567069014915;51344275567069014915;Голубева;Олеся;Артёмовна;Беляев Артем Денисович;Главный специалист;09;167009;не участник;1;00000066;КПК Восток;R001;0;2;09167009
99579010653785783587;99579010653785783587;Макаров;Тимур;Николаевич;Морозова Алина Артёмовна;Аналитик;06;7645;Операционный;0;00000067;КПК Север;R009;1;1;06764500
69982669458887920984;69982669458887920984;Лебедева;Диана;Тимуровна;Лебедева Василиса Викторовна;Бизнес-архитектор;06;5457;Операционный;0;00000068;КПК Юг;R008;1;2;06545700
79415151482342935902;79415151482342935902;Новикова;Алиса;Александровна;Васильев Владимир Семенович;Разработчик;01;169410;Финансы;0;00000069;КПК Запад;R011;1;2;01169410
55349208667674291127;55349208667674291127;Ковалева;Василиса;Степановна;Воробьев Вадим Витальевич;Аналитик;02;6972;не участник;0;00000070;КПК Юг;R006;0;2;02697200
13932362269945037995;13932362269945037995;Егоров;Алексей;Дмитриевич;Соколова Татьяна Артёмовна;Бизнес-архитектор;07;392902;Корпоративный;1;00000071;КПК Восток;R006;0;1;07392902
98553441741962868471;98553441741962868471;Киселев;Филипп;Александрович;Смирнов Антон Владимирович;Разработчик;07;437441;Операционный;1;00000072;КПК Север;R010;0;1;07437441
19464037608799338210;19464037608799338210;Киселева;Ева;Вячеславовна;Зайцева Вероника Сергеевна;Эксперт;05;2137;Операционный;0;00000073;КПК Восток;R005;1;2;05213700
81607451071203577406;81607451071203577406;Богданов;Петр;Михайлович;Морозов Даниил Григорьевич;Разработчик;04;9454;Технологии;1;00000074;КПК Центр;R009;1;1;04945400
68115444413041053396;68115444413041053396;Попова;Елизавета;Владимировна;Куликов Глеб Алексеевич;Эксперт;03;6601;Корпоративный;1;00000075;КПК Юг;R010;1;2;03660100
04840002900125925390;04840002900125925390;Попов;Владимир;Фёдорович;Михайлова Софья Фёдоровна;Менеджер;07;675822;Финансы;1;00000076;КПК Запад;R011;0;1;07675822
31193318513780564145;31193318513780564145;Макарова;Вероника;Андреевна;Баранов Георгий Михайлович;Руководитель группы;06;2935;Технологии;1;00000077;КПК Юг;R007;0;2;06293500
42311437684929609452;42311437684929609452;Орлов;Виктор;Фёдорович;Новиков Артем Вадимович;Разработчик;02;5701;Розничный;1;00000078;КПК Север;R010;1;1;02570100
46735628808881753082;46735628808881753082;Егорова;Анастасия;Витальевна;Кузьмин Глеб Вячеславович;Аналитик;02;6194;Финансы;1;00000079;КПК Север;R005;0;2;02619400
67104262543550208103;67104262543550208103;Попова;Алёна;Вячеславовна;Гусева Марина Павловна;Разработчик;08;154370;Розничный;0;00000080;КПК Юг;R003;1;2;08154370
58090963873294930592;58090963873294930592;Куликова;Марина;Викторовна;Павлова Елизавета Андреевна;Главный специалист;01;618546;Технологии;0;00000081;КПК Юг;R004;0;2;01618546
64322773123960031713;64322773123960031713;Соколов;Олег;Сергеевич;Титов Вадим Тимурович;Главный специалист;08;621753;Технологии;1;00000082;КПК Север;R003;1;1;08621753
09651487022627298608;09651487022627298608;Лебедева;Кристина;Николаевна;Семенова Ксения Артёмовна;Главный специалист;07;317113;Операционный;0;00000083;КПК Центр;R004;0;2;07317113
70893723167657949058;70893723167657949058;Киселева;Ксения;Константиновна;Кузьмин Руслан Фёдорович;Бизнес-архитектор;01;664979;Розничный;0;00000084;КПК Восток;R010;0;2;01664979
10309800134068477787;10309800134068477787;Лебедева;Юлия;Романовна;Титова Дарья Викторовна;Бизнес-архитектор;06;2327;Финансы;1;00000085;КПК Восток;R006;0;2;06232700
28169303712494675003;28169303712494675003;Попов;Ярослав;Олегович;Кузьмина Валерия Григорьевна;Менеджер;06;7592;Финансы;1;00000086;КПК Центр;R002;0;1;06759200
57383971288210207045;57383971288210207045;Кудрявцева;Марина;Григорьевна;Куликов Руслан Андреевич;Начальник отдела;10;518085;Технологии;0;00000087;КПК Север;R003;1;2;10518085
61680035599567185813;61680035599567185813;Соколов;Никита;Вадимович;Куликова Виктория Романовна;Главный специалист;10;405647;Корпоративный;1;00000088;КПК Запад;R005;0;1;10405647
08268031176274936556;08268031176274936556;Ковалев;Михаил;Петрович;Васильева Юлия Юрьевна;Бизнес-архитектор;01;743341;Финансы;1;00000089;КПК Запад;R003;0;1;01743341
09027976112508404210;09027976112508404210;Воробьева;Арина;Степановна;Соколова Алина Вячеславовна;Начальник отдела;10;415860;Корпоративный;0;00000090;КПК Восток;R002;0;2;10415860
44522701064744513627;44522701064744513627;Федорова;Екатерина;Михайловна;Ковалева Алина Николаевна;Эксперт;09;927705;Финансы;0;00000091;КПК Восток;R009;1;2;09927705
15564018137841893015;15564018137841893015;Кузьмин;Михаил;Петрович;Голубева Анастасия Степановна;Главный специалист;11;738256;Финансы;0;00000092;КПК Юг;R004;0;1;11738256
89422221804783361040;89422221804783361040;Морозова;Анна;Артёмовна;Комаров Андрей Валерьевич;Аналитик;03;8888;Розничный;0;00000093;КПК Центр;R008;1;2;03888800
03919344549097995029;03919344549097995029;Комаров;Даниил;Павлович;Егорова Алёна Витальевна;Менеджер;03;4544;не участник;0;00000094;КПК Запад;R001;1;1;03454400
20723537412884316066;20723537412884316066;Воробьев;Виктор;Тимурович;Васильева Кристина Николаевна;Руководитель группы;03;2298;Корпоративный;0;00000095;КПК Восток;R003;1;1;03229800
51754072979444449935;51754072979444449935;Беляева;Марина;Вячеславовна;Ковалев Антон Артемович;Главный специалист;07;790846;Технологии;1;00000096;КПК Запад;R003;1;2;07790846
26872278928145448481;26872278928145448481;Новикова;Василиса;Игоревна;Соловьёв Руслан Денисович;Эксперт;11;348734;Розничный;1;00000097;КПК Север;R009;0;2;11348734
53241468138231196620;53241468138231196620;Куликова;Вероника;Ивановна;Ильин Владимир Вячеславович;Руководитель группы;04;7541;Операционный;1;00000098;КПК Юг;R005;0;2;04754100
09540449133374389313;09540449133374389313;Ковалев;Алексей;Сергеевич;Кузьмина Валерия Степановна;Менеджер;10;719551;Операционный;1;00000099;КПК Запад;R009;1;1;10719551
83824314563208160440;83824314563208160440;Новиков;Георгий;Юрьевич;Морозова Дарья Степановна;Главный специалист;06;9841;Корпоративный;1;00000100;КПК Центр;R008;0;1;06984100
41062964190263885089;41062964190263885089;Зайцева;Мария;Степановна;Ковалев Степан Аркадьевич;Консультант;06;1683;Операционный;1;00000101;КПК Восток;R005;0;2;06168300
16409427541479379153;16409427541479379153;Киселева;Вера;Ивановна;Павлов Вадим Павлович;Консультант;07;791247;не участник;0;00000102;КПК Центр;R008;1;2;07791247
14904649701008696793;14904649701008696793;Андреев;Руслан;Алексеевич;Орлов Егор Семенович;Главный специалист;11;321008;Операционный;0;00000103;КПК Восток;R005;0;1;11321008
67418972927396460058;67418972927396460058;Иванова;Наталья;Валерьевна;Ковалев Вадим Денисович;Менеджер;11;396422;не участник;0;00000104;КПК Север;R005;0;2;11396422
31139188822442305499;31139188822442305499;Федорова;Ольга;Степановна;Федорова Дарья Андреевна;Консультант;05;9340;Операционный;1;00000105;КПК Запад;R008;1;2;05934000
51568201947545335470;51568201947545335470;Петров;Максим;Юрьевич;Белова Арина Аркадьевна;Главный специалист;04;1478;Технологии;0;00000106;КПК Запад;R004;1;1;04147800
37804068538398855694;37804068538398855694;Смирнов;Михаил;Юрьевич;Беляев Артем Фёдорович;Менеджер;10;463572;Операционный;1;00000107;КПК Север;R004;1;1;10463572
59500736639140433424;59500736639140433424;Кузнецова;Ксения;Аркадьевна;Смирнов Георгий Степанович;Консультант;02;5239;Операционный;1;00000108;КПК Центр;R001;0;2;02523900
77202288866453919970;77202288866453919970;Макаров;Артем;Алексеевич;Кузнецов Антон Георгиевич;Аналитик;10;358336;Розничный;1;00000109;КПК Юг;R005;0;1;10358336
32958303120354257605;32958303120354257605;Кузьмина;Татьяна;Сергеевна;Кузнецова Светлана Александровна;Главный специалист;06;7123;не участник;1;00000110;КПК Центр;R011;0;2;06712300
62339631635141360291;62339631635141360291;Орлов;Александр;Вадимович;Титова Алиса Фёдоровна;Аналитик;08;216970;Корпоративный;1;00000111;КПК Запад;R007;1;1;08216970
85553493964312730451;85553493964312730451;Павлова;Анастасия;Николаевна;Петров Даниил Степанович;Бизнес-архитектор;11;942771;Операционный;0;00000112;КПК Восток;R007;1;2;11942771
49326568720389956501;49326568720389956501;Андреев;Петр;Петрович;Иванова Полина Андреевна;Разработчик;10;618748;Операционный;0;00000113;КПК Юг;R007;1;1;10618748
89219026767185600582;89219026767185600582;Козлова;Арина;Семёновна;Макарова Арина Владимировна;Руководитель группы;09;207340;Финансы;0;00000114;КПК Север;R001;1;2;09207340
64032869967825086878;64032869967825086878;Кудрявцева;Арина;Григорьевна;Кузьмин Роман Константинович;Начальник отдела;02;6359;Технологии;0;00000115;КПК Центр;R007;1;2;02635900
40067943926441642911;40067943926441642911;Кузнецов;Артем;Григорьевич;Баранова Анастасия Вадимовна;Ведущий специалист;07;704401;Операционный;1;00000116;КПК Запад;R006;0;1;07704401
05619443490630621722;05619443490630621722;Андреев;Степан;Иванович;Тарасов Алексей Викторович;Главный специалист;05;2667;Технологии;1;00000117;КПК Центр;R001;1;1;05266700
39515817750794185875;39515817750794185875;Виноградов;Руслан;Валерьевич;Петрова Вероника Вадимовна;Бизнес-архитектор;01;659715;Финансы;1;00000118;КПК Север;R009;1;1;01659715
07576160431254933247;07576160431254933247;Андреев;Глеб;Валерьевич;Зайцев Виталий Артемович;Начальник отдела;06;9315;Финансы;0;00000119;КПК Запад;R002;1;1;06931500
90107947716461829775;90107947716461829775;Лебедева;Мария;Викторовна;Тарасова Анна Романовна;Руководитель группы;10;514593;Корпоративный;1;00000120;КПК Центр;R001;1;2;10514593
91120336646050104912;91120336646050104912;Андреева;Мария;Владимировна;Егоров Вадим Вячеславович;Эксперт;04;8538;не участник;0;00000121;КПК Запад;R006;0;2;04853800
65777425845571023812;65777425845571023812;Федоров;Михаил;Валерьевич;Кудрявцев Виктор Витальевич;Аналитик;11;334747;не участник;1;00000122;КПК Юг;R010;0;1;11334747
71032081849421071099;71032081849421071099;Комаров;Андрей;Тимурович;Васильев Сергей Семенович;Ведущий специалист;10;901202;не участник;1;00000123;КПК Центр;R007;0;1;10901202
35107093591271754539;35107093591271754539;Виноградова;Ксения;Артёмовна;Кузьмина Вера Юрьевна;Разработчик;05;4552;Финансы;1;00000124;КПК Центр;R004;0;2;05455200
33367400586846178291;33367400586846178291;Петрова;Марина;Витальевна;Кузнецова Дарья Юрьевна;Начальник отдела;09;739000;Технологии;0;00000125;КПК Центр;R001;0;2;09739000
52916494463482956807;52916494463482956807;Гусева;Елизавета;Фёдоровна;Тарасова Мария Фёдоровна;Разработчик;11;927437;Розничный;1;00000126;КПК Юг;R006;1;2;11927437
90039832800899868468;90039832800899868468;Егоров;Филипп;Сергеевич;Иванова Василиса Викторовна;Начальник отдела;11;812082;Корпоративный;0;00000127;КПК Восток;R001;0;1;11812082
31170114640116367359;31170114640116367359;Куликова;Анастасия;Витальевна;Новиков Дмитрий Сергеевич;Ведущий специалист;07;399593;Технологии;1;00000128;КПК Север;R009;0;2;07399593
45148427334151756900;45148427334151756900;Кузьмина;Милана;Денисовна;Голубев Антон Денисович;Консультант;03;9019;не участник;0;00000129;КПК Юг;R011;1;2;03901900
69893711140431681317;69893711140431681317;Андреева;Ксения;Юрьевна;Виноградова Полина Валерьевна;Руководитель группы;07;757279;Корпоративный;0;00000130;КПК Юг;R007;1;2;07757279
63935199725844231172;63935199725844231172;Петрова;Анастасия;Андреевна;Павлова Ева Олеговна;Аналитик;03;2212;не участник;1;00000131;КПК Юг;R005;1;2;03221200
95132934422764679636;95132934422764679636;Беляева;Марина;Михайловна;Морозова Светлана Фёдоровна;Главный специалист;09;422562;Финансы;1;00000132;КПК Восток;R003;1;2;09422562
82140311965439656015;82140311965439656015;Иванов;Аркадий;Дмитриевич;Куликова Марина Витальевна;Руководитель группы;06;1695;Технологии;0;00000133;КПК Центр;R009;0;1;06169500
44376849265867941448;44376849265867941448;Михайлова;Алина;Ивановна;Петрова Алиса Витальевна;Аналитик;10;517387;Технологии;1;00000134;КПК Центр;R004;0;2;10517387
91189011657517774039;91189011657517774039;Киселев;Аркадий;Михайлович;Волков Тимур Фёдорович;Аналитик;06;7691;не участник;1;00000135;КПК Север;R002;0;1;06769100
65681020827089976294;65681020827089976294;Михайлова;Алёна;Игоревна;Васильева Наталья Петровна;Руководитель группы;11;626074;Розничный;0;00000136;КПК Запад;R002;1;2;11626074
47170107227325257961;47170107227325257961;Воробьева;Полина;Юрьевна;Куликова Марина Вячеславовна;Бизнес-архитектор;11;232406;не участник;1;00000137;КПК Запад;R002;1;2;11232406
95583966139704413046;95583966139704413046;Баранова;Мария;Григорьевна;Козлова Арина Сергеевна;Эксперт;11;375885;Технологии;0;00000138;КПК Запад;R003;0;2;11375885
97688464973751105115;97688464973751105115;Соловьёва;Полина;Аркадьевна;Смирнова Анастасия Григорьевна;Начальник отдела;03;9632;Технологии;1;00000139;КПК Север;R003;1;2;03963200
25761237457162890100;25761237457162890100;Гусева;Анна;Игоревна;Семенова Алина Семёновна;Консультант;11;113128;Финансы;0;00000140;КПК Север;R002;0;2;11113128
08612862988668817068;08612862988668817068;Сидорова;Светлана;Григорьевна;Белов Александр Викторович;Ведущий специалист;10;605389;Технологии;0;00000141;КПК Север;R007;0;2;10605389
12750152373720276732;12750152373720276732;Белова;Ольга;Олеговна;Виноградова Анна Тимуровна;Бизнес-архитектор;07;894591;Операционный;1;00000142;КПК Запад;R007;1;2;07894591
77565088196193959814;77565088196193959814;Голубева;Виктория;Михайловна;Андреева Екатерина Алексеевна;Эксперт;05;5820;Технологии;0;00000143;КПК Юг;R005;0;2;05582000
08685135168839621202;08685135168839621202;Гусев;Виталий;Игоревич;Федорова Софья Андреевна;Бизнес-архитектор;11;147494;Корпоративный;1;00000144;КПК Центр;R007;0;1;11147494
12333531466705000767;12333531466705000767;Киселева;Василиса;Ивановна;Семенов Ярослав Олегович;Начальник отдела;03;2753;Операционный;1;00000145;КПК Центр;R008;0;2;03275300
10899489806741508227;10899489806741508227;Баранова;Алина;Алексеевна;Тарасов Аркадий Иванович;Бизнес-архитектор;04;8155;Финансы;0;00000146;КПК Север;R011;0;2;04815500
13978630534684480240;13978630534684480240;Волкова;Наталья;Семёновна;Морозова Татьяна Игоревна;Консультант;09;197014;Корпоративный;1;00000147;КПК Юг;R003;0;2;09197014
36571822645748375146;36571822645748375146;Куликова;Софья;Георгиевна;Гусев Александр Семенович;Бизнес-архитектор;09;996804;Технологии;1;00000148;КПК Север;R009;1;2;09996804
37801324535480938305;37801324535480938305;Гусева;Кристина;Ивановна;Куликова Олеся Петровна;Разработчик;02;3655;Финансы;1;00000149;КПК Восток;R003;1;2;02365500
47131280946565817266;47131280946565817266;Белов;Алексей;Олегович;Воробьев Глеб Игоревич;Главный специалист;06;7806;Розничный;1;00000150;КПК Юг;R004;0;1;06780600
70536169181650242144;70536169181650242144;Лебедев;Антон;Сергеевич;Воробьев Михаил Иванович;Бизнес-архитектор;05;6641;Корпоративный;1;00000151;КПК Север;R001;0;1;05664100
73831609663755649017;73831609663755649017;Ковалева;Вера;Денисовна;Павлов Алексей Григорьевич;Разработчик;10;517888;Финансы;0;00000152;КПК Юг;R006;1;2;10517888
43855154332863634511;43855154332863634511;Попов;Алексей;Алексеевич;Козлов Егор Петрович;Бизнес-архитектор;01;299094;Операционный;1;00000153;КПК Запад;R001;0;1;01299094
47412207627851301698;47412207627851301698;Кузьмин;Артем;Артемович;Волкова Юлия Валерьевна;Аналитик;01;964127;не участник;0;00000154;КПК Центр;R007;1;1;01964127
78434300817576523090;78434300817576523090;Беляев;Иван;Аркадьевич;Егоров Иван Алексеевич;Разработчик;07;472515;не участник;1;00000155;КПК Юг;R010;0;1;07472515
